date,govt12m,govt24m,govt36m,govt48m,govt60m,govt72m,govt84m,govt96m,govt108m,govt120m,cpi,ppi,pcom,employ,unempl,ip,infl10y,ffer
1982-01-01,13.7712,14.0234,14.0074,13.9609,13.9347,13.9316,13.9443,13.966,13.9913,14.0168,7.9337,6.3663,-29.2389,-0.5154,15.21130991,-4.3065,6.1976,13.22
1982-02-01,14.247,14.1443,14.008,13.908,13.8469,13.8144,13.8001,13.7966,13.799,13.8036,7.3377,5.4067,-31.5251,-0.5967,18.68449093,-1.8682,6.0792,14.78
1982-03-01,13.4755,13.5185,13.4616,13.3903,13.3272,13.2761,13.2357,13.2035,13.177,13.1543,6.6582,4.2384,-34.7151,-0.8544,21.48405724,-3.0529,5.6481,14.68
1982-04-01,13.6161,13.63,13.5406,13.4366,13.3427,13.2634,13.1978,13.1431,13.0969,13.0568,6.4118,3.3902,-29.9061,-1.249,26.37611788,-3.5496,5.7132,14.94
1982-05-01,13.0468,13.2047,13.1853,13.129,13.0745,13.0301,12.9958,12.9692,12.948,12.9301,6.6835,3.0772,-30.2556,-1.3109,23.4577808,-4.7897,5.69,14.45
1982-06-01,13.6094,13.8119,13.806,13.7547,13.7031,13.6613,13.6294,13.6051,13.586,13.5699,6.9361,3.3625,-23.6359,-1.7921,26.33706542,-5.5729,5.6024,14.15
1982-07-01,13.0618,13.3823,13.4439,13.4305,13.3992,13.3675,13.34,13.3169,13.2972,13.2797,6.3513,3.5555,-27.5423,-2.2969,32.19046968,-6.5564,5.916,12.59
1982-08-01,11.3623,12.0799,12.293,12.3657,12.4022,12.4315,12.4601,12.4886,12.5158,12.5404,5.7941,3.8505,-21.7322,-2.4342,30.3086702,-7.3468,5.6967,10.12
1982-09-01,10.8603,11.6093,11.7794,11.8078,11.8126,11.822,11.839,11.8612,11.8854,11.9092,4.8227,3.5375,-24.0613,-2.5397,30.964447,-7.1152,5.7332,10.31
1982-10-01,9.4942,10.1951,10.4923,10.6382,10.7226,10.7795,10.8222,10.8565,10.8847,10.9079,4.9096,3.4243,-21.201,-2.7436,28.7768814,-7.3107,5.3411,9.71
1982-11-01,9.1614,9.768,10.0792,10.2529,10.3582,10.4273,10.476,10.5122,10.54,10.5614,4.3803,3.5127,-12.644,-2.6508,27.92849704,-6.4557,4.7173,9.2
1982-12-01,8.9143,9.5689,10.0052,10.269,10.4207,10.5048,10.5492,10.5707,10.5785,10.5779,3.7544,3.4986,-8.6697,-2.3645,26.26879414,-6.0794,4.8624,8.95
1983-01-01,8.6524,9.2712,9.7173,10.016,10.2136,10.3466,10.4387,10.5047,10.5531,10.5891,3.6405,2.1011,-3.3779,-1.7544,20.49087058,-2.1727,4.7175,8.68
1983-02-01,8.9303,9.5466,9.9742,10.2535,10.4347,10.5542,10.6355,10.6926,10.7337,10.7635,3.4253,2.3013,-5.5742,-1.8342,17.36112262,-4.8121,4.8609,8.51
1983-03-01,8.9249,9.4521,9.823,10.0684,10.2299,10.3383,10.4136,10.4676,10.5074,10.537,3.5273,2.2023,2.5797,-1.4973,14.22852846,-3.3039,4.61,8.77
1983-04-01,8.9153,9.3949,9.747,9.9847,10.1429,10.2501,10.3249,10.3789,10.4189,10.4488,3.9221,2.099,2.1855,-0.8757,9.527468168,-1.1412,4.738,8.8
1983-05-01,8.7629,9.2725,9.655,9.9178,10.0958,10.2185,10.3057,10.3697,10.418,10.4547,3.3832,2.3953,7.2546,-0.5152,7.626198483,0.1556,4.5384,8.63
